epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,9195.94,1.53868,0.99802,0.00617,0.84173,0.55122,0.64117,0.41429,1.30255,0.92707,0.00687,2.30008e-05,2.30008e-05,2.30008e-05
79,9313.87,1.5454,1.00417,0.00622,0.84257,0.54676,0.64016,0.41611,1.2971,0.93871,0.00686,2.20008e-05,2.20008e-05,2.20008e-05
80,9432.16,1.53597,0.98985,0.00613,0.84442,0.54779,0.64214,0.41547,1.29711,0.92743,0.00685,2.10008e-05,2.10008e-05,2.10008e-05
81,9551.03,1.54724,1.00305,0.00613,0.84232,0.54924,0.64147,0.41813,1.29199,0.92668,0.00679,2.00008e-05,2.00008e-05,2.00008e-05
82,9671.6,1.54697,0.99728,0.00611,0.84344,0.55044,0.6433,0.41889,1.29579,0.92896,0.00685,1.90008e-05,1.90008e-05,1.90008e-05
83,9790.82,1.53869,0.99364,0.0061,0.84983,0.54669,0.64405,0.41853,1.29255,0.92431,0.00684,1.80008e-05,1.80008e-05,1.80008e-05
84,9908.65,1.54366,0.9898,0.00612,0.84834,0.54743,0.64331,0.41798,1.29264,0.92303,0.00676,1.70008e-05,1.70008e-05,1.70008e-05
85,10026.5,1.53677,0.98909,0.00604,0.84966,0.55049,0.64354,0.41815,1.29066,0.93029,0.0068,1.60008e-05,1.60008e-05,1.60008e-05
86,10143.8,1.51559,0.97627,0.00606,0.84522,0.55232,0.64346,0.41978,1.28991,0.93168,0.00681,1.50009e-05,1.50009e-05,1.50009e-05
87,10260.6,1.53456,0.99221,0.00608,0.84329,0.55097,0.64364,0.41947,1.28887,0.92937,0.00681,1.40009e-05,1.40009e-05,1.40009e-05
88,10377.9,1.53112,0.9935,0.00606,0.84028,0.55182,0.64218,0.41938,1.28606,0.92787,0.00675,1.30009e-05,1.30009e-05,1.30009e-05
89,10496.8,1.52031,0.97534,0.00604,0.84763,0.55089,0.64317,0.4187,1.28976,0.92637,0.00688,1.20009e-05,1.20009e-05,1.20009e-05
90,10614.4,1.52637,0.97936,0.006,0.84682,0.55204,0.64359,0.41965,1.29099,0.92742,0.00687,1.10009e-05,1.10009e-05,1.10009e-05
91,10730.9,1.54941,1.0134,0.00604,0.83777,0.54961,0.64141,0.41473,1.29365,0.93306,0.00677,1.00009e-05,1.00009e-05,1.00009e-05
92,10841.6,1.52461,0.98684,0.00581,0.83808,0.54892,0.64203,0.41613,1.29411,0.9309,0.0068,9.00091e-06,9.00091e-06,9.00091e-06
93,10952.5,1.52059,0.9875,0.00574,0.84722,0.54234,0.64364,0.41945,1.28937,0.92806,0.00671,8.00092e-06,8.00092e-06,8.00092e-06
94,11063.4,1.51002,0.97312,0.00569,0.84356,0.54642,0.64488,0.41876,1.28834,0.92439,0.00669,7.00093e-06,7.00093e-06,7.00093e-06
95,11174.3,1.50962,0.97831,0.00566,0.84228,0.54873,0.64533,0.42003,1.28509,0.91939,0.00666,6.00094e-06,6.00094e-06,6.00094e-06
96,11284.8,1.50787,0.97118,0.00562,0.84419,0.54944,0.64554,0.42038,1.2828,0.91834,0.0066,5.00095e-06,5.00095e-06,5.00095e-06
97,11396.2,1.50604,0.97565,0.00568,0.84577,0.54918,0.64613,0.42154,1.28287,0.92003,0.00664,4.00096e-06,4.00096e-06,4.00096e-06
98,11507.2,1.50266,0.96906,0.00553,0.84474,0.54876,0.64604,0.42143,1.28253,0.91857,0.00664,3.00097e-06,3.00097e-06,3.00097e-06
99,11618.1,1.51413,0.97523,0.00562,0.84412,0.54981,0.64559,0.42119,1.28201,0.92044,0.00664,2.00098e-06,2.00098e-06,2.00098e-06
100,11728.7,1.51042,0.979,0.00561,0.84524,0.54918,0.64595,0.4209,1.2814,0.91909,0.00664,1.00099e-06,1.00099e-06,1.00099e-06
